label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
bulk_yen__init0__yen2000000,bulk_yen,0.0,2000000.0,,3032,9971292.079293763,8491833.788197873,1479458.29109589,109971292.07929376,0.007931150869629366,0.44280749510383766,4480673.275123298,3062553.880013699,973267.8199999771,2164919.4127783123,504,5,5,5,1698366.7576395746,1686764.7044983045,0.9686192468619247,847.4203742658879,741,740,1144,0.37730870712401055,215,0,0,9685535.0,4184446.314313984,-0.8329678326174002
bulk_yen__init0__yen5000000,bulk_yen,0.0,5000000.0,,3032,16656271.399499154,15717821.198348468,938450.201150685,116656271.39949915,0.012886919673054997,0.6222088348679686,4479431.922876716,3010763.890178082,1155570.0581370043,4007122.2644719724,415,4,4,4,3929455.299587117,3919878.4983311957,1.0,inf,783,782,1155,0.3809366754617414,215,0,0,12514950.0,4968232.557717678,-0.6769503978664617
bulk_yen__init0__yen10000000,bulk_yen,0.0,10000000.0,,3032,18247555.79107733,16872618.20187185,1374937.5892054792,118247555.79107732,0.01402814447631906,0.47278222019096344,7311070.1756438315,2097773.9764931505,1651756.612876749,4301527.750154064,251,2,2,2,8436309.100935925,8436309.100935925,1.0,inf,1534,1533,665,0.21932717678100264,215,0,0,18732075.0,7101526.146108179,-0.36654851650125075
bulk_yen__init500000__yen100000,bulk_yen,500000.0,100000.0,,3032,4835593.929140866,4801663.318675112,33930.610465753416,104835593.92914087,0.003932592895483422,0.3953342405776258,2005608.331767127,1908253.841547945,313029.34389040695,1224142.439842943,1394,46,46,46,104383.98518858939,91379.69386068772,0.7679597701149425,4.7647662502981785,245,244,1244,0.4102902374670185,220,0,0,6454120.0,1345831.4940633245,-1.4846482919122286
bulk_yen__init500000__yen300000,bulk_yen,500000.0,300000.0,,3032,6704436.191990946,6670505.581525193,33930.610465753416,106704436.19199094,0.005408014745944323,0.4680400686144086,2488425.387178093,2261044.6413150704,484532.35139724513,1700587.5746838714,1073,24,24,24,277937.7325635497,273186.58807291964,0.8272642390289449,8.774461645125946,356,355,1153,0.3802770448548813,236,0,0,7148490.0,2083187.7622031663,-0.8561182761483597
bulk_yen__init500000__yen500000,bulk_yen,500000.0,500000.0,,3032,7220430.900179205,7186500.289713452,33930.610465753416,107220430.9001792,0.005811210146092538,0.4621699764415355,2704005.8181780875,2418116.8564657527,585853.3692602542,1832135.9526326002,893,16,16,16,449156.2681070907,444210.0929863383,0.8103254769921436,10.864249045704637,439,438,1070,0.3529023746701847,244,0,0,7387830.0,2518805.1236807387,-0.833045084076955
bulk_yen__init500000__yen1000000,bulk_yen,500000.0,1000000.0,,3032,9807424.279271457,9773493.668805704,33930.610465753416,109807424.27927145,0.007806236222507756,0.5385274658993588,2628871.5462440103,2403106.913219177,748724.1025753036,2491667.4892613147,740,11,11,11,888499.4244368821,858427.7321200079,0.8644986449864499,38.12063726472754,562,561,1296,0.42744063324538256,244,0,0,8027500.0,3219047.981530343,-1.0428023703447256
bulk_yen__init500000__yen2000000,bulk_yen,500000.0,2000000.0,,3032,9907873.44653291,8428415.15543702,1479458.29109589,109907873.4465329,0.007882827790114844,0.43650381025129376,4481121.553890407,3059450.406575342,982789.7604383278,2148751.38210081,494,5,5,5,1685683.0310874041,1615457.074815504,0.9615384615384616,461.0726012607305,755,754,1116,0.36807387862796836,211,0,0,9697390.0,4225384.736147758,-0.7798210002357859
bulk_yen__init500000__yen5000000,bulk_yen,500000.0,5000000.0,,3032,16996695.126095086,16058244.924944403,938450.201150685,116996695.12609509,0.013132257053027452,0.6331192639071684,4479431.922876716,3010763.890178082,1166942.578410983,4093910.342602065,403,4,4,4,4014561.2312361007,3919878.4983311957,1.0,inf,782,781,1130,0.37269129287598945,211,0,0,12514950.0,5017127.321899736,-0.6095577893239745
bulk_yen__init500000__yen10000000,bulk_yen,500000.0,10000000.0,,3032,18001047.07727749,16626109.488072008,1374937.5892054792,118001047.07727748,0.013852280507373305,0.46732470796467696,7446486.264616445,1972014.9366438359,1657106.6353973,4238682.490433367,235,2,2,2,8313054.744036004,8313054.744036004,1.0,inf,1517,1516,615,0.20283641160949867,211,0,0,18207000.0,7124527.915567283,-0.29078770146699373
