label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
combo__init500000__yen300000__pct0.2,combo,500000.0,300000.0,0.2,3032,12885644.870862994,12885644.870862994,0,112885644.87086299,0.010124688436652596,0.3806054123699743,6416700.215780824,6223001.412452055,878981.7676164267,3285083.4605205725,979,42,42,42,306801.06835388084,303547.3525996193,0.7773237997957099,7.209832948235861,532,531,1407,0.4640501319261214,346,0,145,13781900.0,3779074.9290897097,-1.732576729440136
combo__init500000__yen300000__pct0.25,combo,500000.0,300000.0,0.25,3032,12921477.787375048,12921477.787375048,0,112921477.78737505,0.010151334102532994,0.3830632393196656,5947875.316452056,5785222.411999999,872465.6766575241,3294218.7519674236,983,42,42,42,307654.23303273926,299020.8545579177,0.7792472024415056,7.052878806612951,532,531,1401,0.4620712401055409,346,0,143,13347880.0,3751059.790567282,-1.724182227028703
combo__init500000__yen500000__pct0.03,combo,500000.0,500000.0,0.03,3032,10287333.899930125,10287333.899930125,0,110287333.89993012,0.008171584895319883,0.34516628029952057,4596075.667013705,4596075.667013698,572117.3244931535,2671700.261576743,1275,144,144,144,71439.81874951476,24856.483773118944,0.7929411764705883,5.792150129348059,102,102,1354,0.4465699208443272,85,0,117,12848050.0,2459748.6741424804,0.18805243691093798
combo__init500000__yen500000__pct0.05,combo,500000.0,500000.0,0.05,3032,13270134.849087901,13270134.849087901,0,113270134.8490879,0.010410194571806697,0.38379016194481586,6416700.215780824,6223001.412452055,856997.4233972437,3383105.8475148496,1068,75,75,75,176935.13132117203,115318.91600690004,0.8473782771535581,8.551861591554575,331,331,1527,0.5036279683377308,247,0,149,13828800.0,3684555.921833773,-1.2652355467799767
combo__init500000__yen500000__pct0.08,combo,500000.0,500000.0,0.08,3032,12936317.107790451,12936317.107790451,0,112936317.10779046,0.010162366479225193,0.34559007914514583,6416700.215780824,6223001.412452055,1003437.5461369727,3298001.908072573,919,47,47,47,275240.7895274564,256785.69286721258,0.823721436343852,8.007804821122173,476,475,1488,0.49076517150395776,346,0,175,14036500.0,4314157.373021108,-1.909033233761191
combo__init500000__yen500000__pct0.1,combo,500000.0,500000.0,0.1,3032,13246735.098103045,13246735.098103045,0,113246735.09810305,0.010392844310673999,0.3526642717296744,6416700.215780824,6223001.412452055,1022846.8120547796,3377140.2838421697,906,42,42,42,315398.4547167391,337775.7236502415,0.8300220750551877,8.227458262001589,476,475,1461,0.48186015831134565,346,0,177,14036500.0,4397605.145118734,-1.8139479492361086
combo__init500000__yen500000__pct0.12,combo,500000.0,500000.0,0.12,3032,12708741.162503185,12708741.162503185,0,112708741.16250318,0.009993027555123879,0.338348702252787,6416700.215780824,6223001.412452055,1037422.3969314947,3239983.3935653153,899,38,38,38,334440.55690797855,363290.9082702156,0.8253615127919911,7.3563674890274395,476,475,1452,0.4788918205804749,346,0,179,14036500.0,4460271.094986808,-1.8693585055203839
combo__init500000__yen500000__pct0.15,combo,500000.0,500000.0,0.15,3032,12970601.999526188,12970601.999526188,0,112970601.99952619,0.01018785069393413,0.3419886300463108,6416929.80742465,6222086.02520548,1067597.5834520434,3306742.5440217652,875,35,35,35,370588.62855789106,415604.75678087666,0.8,7.816946064224168,551,550,1437,0.47394459102902375,346,0,180,14036500.0,4590005.629947229,-1.8883768890725063
combo__init500000__yen500000__pct0.2,combo,500000.0,500000.0,0.2,3032,13397276.331548978,13397276.331548978,0,113397276.33154897,0.010504409026275141,0.35267617047850264,6416929.80742465,6222086.02520548,1070805.7241095717,3415519.4663414373,870,32,32,32,418664.88536090555,427715.9259259696,0.8022988505747126,7.992344997863137,551,550,1426,0.4703166226912929,346,0,180,14036500.0,4603798.639511873,-1.904305443627122
combo__init500000__yen500000__pct0.25,combo,500000.0,500000.0,0.25,3032,13438300.755174408,13438300.755174408,0,113438300.75517441,0.010534788301087561,0.3538984675805184,6416929.80742465,6222086.02520548,1073660.1143013525,3425978.2875242275,859,31,31,31,433493.57274756156,432833.6875682204,0.8032596041909197,8.163001260272315,535,534,1421,0.46866754617414247,346,0,180,14036500.0,4616070.742084432,-1.9106359169736549
combo__init500000__yen1000000__pct0.03,combo,500000.0,1000000.0,0.03,3032,10287333.899930125,10287333.899930125,0,110287333.89993012,0.008171584895319883,0.34516628029952057,4596075.667013705,4596075.667013698,572117.3244931535,2671700.261576743,1275,144,144,144,71439.81874951476,24856.483773118944,0.7929411764705883,5.792150129348059,102,102,1354,0.4465699208443272,85,0,117,12848050.0,2459748.6741424804,0.18805243691093798
combo__init500000__yen1000000__pct0.05,combo,500000.0,1000000.0,0.05,3032,13270134.849087901,13270134.849087901,0,113270134.8490879,0.010410194571806697,0.38379016194481586,6416700.215780824,6223001.412452055,856997.4233972437,3383105.8475148496,1068,75,75,75,176935.13132117203,115318.91600690004,0.8473782771535581,8.551861591554575,331,331,1527,0.5036279683377308,247,0,149,13828800.0,3684555.921833773,-1.2652355467799767
