final_equity,max_drawdown_pct,min_equity,forced_liquidations,ruined
6929067.813287482,0.26727441566919174,4433539.642862269,0,0.0
8283462.819635129,0.28231404651955977,3716044.6396307116,0,0.0
7354801.396613988,0.2932959816967172,4209813.438242928,0,0.0
8084882.551010516,0.0801821989509895,4796016.281647306,0,0.0
8060111.222547911,0.18558040404643697,4751359.273566536,0,0.0
6547395.899063374,0.8702127868804317,679963.5165995937,0,0.0
7897782.156920579,0.14393180333089103,4333088.100462727,0,0.0
8195666.560519451,0.16201726545759512,4544621.78674719,0,0.0
7958001.55231977,0.12556978815110842,4811845.6268703835,0,0.0
7974387.570855262,0.16804872783067012,4817298.04817895,0,0.0
7849195.862074234,0.32933587139008863,4389433.148050072,0,0.0
8124326.334061094,0.13004829397469914,4921154.34803133,0,0.0
8176531.977275711,0.22883083289717948,4415757.520702926,0,0.0
7643053.675062139,0.09937686224635162,4848159.271872965,0,0.0
8385896.602743514,0.16193021047709563,4281358.717090588,0,0.0
8392651.121426716,0.09977222350796784,4950752.353462464,0,0.0
7815534.403004807,0.40594301282869083,3224421.963577233,0,0.0
6982957.978884674,0.11219291257028065,4832689.699286519,0,0.0
6344561.185187824,0.40389503426456824,3285508.8878294323,0,0.0
8023753.031766912,0.40711181468333135,3496523.144693836,0,0.0
7307861.342571061,0.31031253990865837,4658784.298390188,0,0.0
7438110.441864923,0.1822824225841942,4990481.963644835,0,0.0
7379595.638198224,0.09317412487722065,4744570.30084475,0,0.0
7743270.133635969,0.08557379862755993,4979310.942975339,0,0.0
7130239.8643468,0.6529321956334011,1999247.02523702,0,0.0
8585658.91663647,0.1991867408892163,4776961.822030592,0,0.0
8459210.444292162,0.15625905445380678,4633665.318942966,0,0.0
7369604.523217268,0.2975687062367458,3926595.4887388125,0,0.0
6873667.106660889,0.38608793640123573,4414480.058842215,0,0.0
8118742.941657749,0.16033011587049958,4734822.681925806,0,0.0
8451411.530465752,0.10961546973676321,4677147.627367496,0,0.0
7357470.414132111,0.11056099545453683,4987153.774762737,0,0.0
7806984.47330208,0.21350108347298485,4542221.632062877,0,0.0
8114002.176668697,0.1266591272963861,4921033.618158948,0,0.0
7818125.166890578,0.1629001206831603,4767875.656810564,0,0.0
8284687.168802185,0.15010312719249821,4667565.632084351,0,0.0
8152297.573042506,0.12128723869688837,4415659.4301617425,0,0.0
7922332.2163203005,0.13674235894695838,4500193.132552511,0,0.0
7422341.6453526,0.15182306540109045,4717121.745779587,0,0.0
8458892.441641064,0.18027227586108602,4723026.928916733,0,0.0
8627754.143007217,0.6458546954132991,2139210.177506395,0,0.0
-128594.38716345187,1.029445735802882,-152050.7856641328,1013,1.0
6701786.935431824,0.13324729384271558,4849016.538235839,0,0.0
7552434.182125116,0.11704589101216754,4974345.03642077,0,0.0
6732056.340808946,0.6749566342618354,1632867.4821818061,0,0.0
6286051.434653529,0.05464322283139212,4813899.9733875,0,0.0
6382757.888903026,0.2315271049998873,4641865.324035607,0,0.0
8720230.79989239,0.20362585079904946,4919281.341648638,0,0.0
7106881.655690273,0.11292293095074495,4881128.473718913,0,0.0
7682914.246265341,0.0899351794905611,5000000.0,0,0.0
8459558.38976086,0.12769547504754714,4857761.982889431,0,0.0
8622605.131492188,0.13342056639244396,4974091.548070192,0,0.0
8184240.115777188,0.501192739728257,2921017.176298684,0,0.0
8180987.919405577,0.4163893220633211,3218089.7953016306,0,0.0
7910342.331281835,0.08967249023400359,4869409.80819448,0,0.0
8358327.094799068,0.20102866991265184,4546810.801839163,0,0.0
7634553.478073693,0.35504959069416847,3542076.5690076686,0,0.0
8521452.009397628,0.13532267583646923,4821796.6036760975,0,0.0
3741134.9571384205,0.708055674630027,1775727.5742132105,0,0.0
7834771.706025925,0.3496798257176777,3755043.5411366425,0,0.0
6993255.852576523,0.07926721596955189,4715995.034834079,0,0.0
8712035.344033709,0.08557215658976955,4954023.843129558,0,0.0
7625629.96975277,0.2523149031827761,4263636.599317405,0,0.0
8304611.351652005,0.07471294138003409,4980633.94940908,0,0.0
8257307.792172046,0.2373368468976644,3819354.2564704064,0,0.0
6996036.5009137485,0.30015008621458705,4063701.4665324194,0,0.0
7033174.277131893,0.08828905509606634,4989944.953753635,0,0.0
7015076.832342387,0.3522759968627502,3343295.870653819,0,0.0
7437441.440949166,0.09100702146122505,4962224.595369076,0,0.0
7937115.183006758,0.13789548083851508,4944126.631412963,0,0.0
